Month,Day,Year,Open,High,Low,Close,Adj Close,Volume
6,21,2021,2238.620117,2350.219971,2238.620117,2334.399902,2334.399902,22845800000
6,28,2021,2335.340088,2342.189941,2295.429932,2305.76001,2305.76001,19135150000
7,5,2021,2305.959961,2306.909912,2192.97998,2280,2280,16225570000
7,12,2021,2279.629883,2283.459961,2160.530029,2163.23999,2163.23999,18977190000
7,19,2021,2159.709961,2236.939941,2107.070068,2209.649902,2209.649902,21304580000
7,26,2021,2210.110107,2256.969971,2171.370117,2226.25,2226.25,20734210000
8,2,2021,2228.030029,2258.320068,2189.76001,2247.76001,2247.76001,19171320000
8,9,2021,2247.429932,2250.629883,2221.310059,2223.110107,2223.110107,17260230000
8,16,2021,2222.030029,2222.030029,2122.23999,2167.600098,2167.600098,19014210000
8,23,2021,2169.110107,2281.840088,2169.110107,2277.149902,2277.149902,17595630000
8,30,2021,2278.449951,2309.969971,2260.429932,2292.050049,2292.050049,18470230000
9,6,2021,2292.169922,2300.590088,2227.540039,2227.550049,2227.550049,14932410000
9,13,2021,2228.48999,2249.939941,2204.139893,2236.870117,2236.870117,22890790000
9,20,2021,2233.100098,2265.810059,2155.340088,2248.070068,2248.070068,20058800000
9,27,2021,2247.959961,2293.350098,2197.149902,2241.629883,2241.629883,20646370000
10,4,2021,2240.850098,2265.219971,2188.689941,2233.090088,2233.090088,19344290000
10,11,2021,2233,2306.27002,2220.23999,2265.649902,2265.649902,17878150000
10,18,2021,2265.060059,2304,2255.409912,2291.27002,2291.27002,18372450000
10,25,2021,2291.800049,2321.469971,2252.48999,2297.189941,2297.189941,20648340000
11,1,2021,2298.080078,2449.139893,2298.080078,2437.080078,2437.080078,21195930000
11,8,2021,2438.360107,2458.860107,2380.76001,2411.780029,2411.780029,20545980000
11,15,2021,2412.040039,2421.070068,2341.570068,2343.159912,2343.159912,19909710000
11,22,2021,2343.669922,2369.629883,2215.23999,2245.939941,2245.939941,15654820000
11,29,2021,2248.899902,2281.280029,2143.120117,2159.310059,2159.310059,26646380000
12,6,2021,2160.159912,2276.75,2154.620117,2211.810059,2211.810059,21271750000
12,13,2021,2211.590088,2216.090088,2124.73999,2173.929932,2173.929932,26609380000
12,20,2021,2170.969971,2247.629883,2107.679932,2241.580078,2241.580078,14940780000
12,27,2021,2242.47998,2274.540039,2230.330078,2245.310059,2245.310059,14244290000
1,3,2022,2246.709961,2288.300049,2179.290039,2179.810059,2179.810059,21878940000
1,10,2022,2179.070068,2210.280029,2126.120117,2162.459961,2162.459961,21251840000
1,17,2022,2160.350098,2160.350098,1987.910034,1987.920044,1987.920044,19444410000
1,24,2022,1986.449951,2048.350098,1901.359985,1968.51001,1968.51001,27889090000
1,31,2022,1968.089966,2054.719971,1960.109985,2002.359985,2002.359985,23505280000
2,7,2022,2002.380005,2105.209961,2000.400024,2030.150024,2030.150024,23778810000
2,14,2022,2030.180054,2084.97998,2004.72998,2009.329956,2009.329956,22562340000
2,21,2022,2008.680054,2040.930054,1894.449951,2040.930054,2040.930054,21848520000
2,28,2022,2040.310059,2067.280029,1985.51001,2000.900024,2000.900024,28092740000
3,7,2022,2001.030029,2027.390015,1951.209961,1979.670044,1979.670044,29765730000
3,14,2022,1979.790039,2087.550049,1932.709961,2086.139893,2086.139893,30540660000
3,21,2022,2085.820068,2097.610107,2047.27002,2077.97998,2077.97998,22611740000
3,28,2022,2078.300049,2138.449951,2049.540039,2091.110107,2091.110107,23169700000
4,4,2022,2091.530029,2103.360107,1984.150024,1994.560059,1994.560059,23239490000
4,11,2022,1993.530029,2034.219971,1976.589966,2004.97998,2004.97998,16329620000
4,18,2022,2003.27002,2060.080078,1939.339966,1940.660034,1940.660034,21597890000
4,25,2022,1933.23999,1954.400024,1860.579956,1864.099976,1864.099976,24637900000
